nameWell,comments
NO 15/9-19 A,
NO 15/9-19 A,
NO 15/9-19 A,MU BAKER WINDOWMASTER WHIPSTOCK + MILLING ASSEMBLY & ASSOCIATED BHA. CONTINUE TIH WITH DP.
NO 15/9-19 A,"CONTINUED TIH WITH  WINDOWMASTER WHIPSTOCK & MILLING ASSEMBLY. TAGGED 9 5/8"" BRIDGE-PLUG AT 2211 M DPM."
NO 15/9-19 A,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.
NO 15/9-19 A,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2202 M MD  - BOTTOM OF WINDOW = 2207 M MD. PUMPED 5 M3 HI-VIS PILL WHILE MILLING AT 2205 M."
NO 15/9-19 A,DRILLED/MILLED NEW FORMATION FROM 2207 - 2213 M. PUMPED 5 M3 HI-VIS PILL WHILE DRILLING AT 2208 M.
NO 15/9-19 A,"REAMED WINDOW. AFTER APPROXIMATELY 20 TIMES, STILL UNABLE TO GO DOWN THROUGH WINDOW WITHOUT ROTATING - BASED ON USING MAXIMUM OF 12 MT WEIGHT. REAMED 5 ADDITIONAL TIMES - NOW ABLE TO SLACK-OFF & PICK-UP THROUGH WINDOW WITHOUT HAVING TO ROTATE STRING."
NO 15/9-19 A,PUMPED 10 M3 HI-VIS PILL & CIRCULATED HOLE CLEAN AT 2000 LPM.
NO 15/9-19 A,COMPLETED CIRCULATING HOLE CLEAN. FLUSHED CHOKE & KILL LINES.
NO 15/9-19 A,"FLOW CHECKED, PUMPED SLUG & POOH TO PU DRILLING BHA."
NO 15/9-19 A,BURST HYDRAULIC HOSE ON UPPER RACKING ARM - REPAIRED SAME.
NO 15/9-19 A,CONTINUED TO POOH WITH MILLING ASSEMBLY.
NO 15/9-19 A,COMPLETED LD MILLING ASSEMBLY.
NO 15/9-19 A,MU DRILLING BHA; MOTOR TESTED OK.
NO 15/9-19 A,TIH WITH BHA TO 800 M.
NO 15/9-19 A,ATTEMPTED TO PERFORM WEEKLY BOP FUNCTION TEST USING YELLOW POD. NO FUNCTION OF EITHER ANNULAR POSSIBLE.
NO 15/9-19 A,CONTINUED TO TIH TO 2193 M WHILE PULLING YELLOW POD.
NO 15/9-19 A,"FOUND CRIMPED PILOT LINE IN POD HOSE. CHANGED PILOT LINE FOR ANNULARS' REGULATOR. RERAN YELLOW POD & LATCHED-UP."
NO 15/9-19 A,FUNCTION TESTED BOPS USING YELLOW POD - FROM RIG FLOOR PANEL.
NO 15/9-19 A,"ORIENTED BIT/MOTOR & SLACKED-OFF THROUGH WINDOW.REAMED F/2208-2212M. STARTED DRILLING-SPP INCREASED 35BAR&TDS STALLED Ø16300NM.FREED STUCK STRING USING 32 MT O/PULL-TORQUE STILL TRAPPED IN STRING.WHILE PULLING PAST 2207M W/BIT,SPP INCREASED AGAIN.FREED BIT PAST 2207M USING 55 MT O/PULL.THEN ABLE TO RELEASE TORQUE IN STRING ONCE ABOVE 2202M."
NO 15/9-19 A,"ATTEMPTED SEVERAL TIMES TO PASS THROUGH WINDOW - UNABLE TO GO BELOW 2202 M - TOP OF WINDOW IN 9 5/8"" CASING."
NO 15/9-19 A,"FLOW CHECKED, PUMPED SLUG & POOH WITH DRILLING BHA. BIT WAS DAMAGED - 6 OUT OF 9 BLADES ON BIT WERE DAMAGED/BROKEN. NO OTHER DAMAGE TO BHA COMPONENTS NOTED."
NO 15/9-19 A,MU MILLING BHA & TIH TO WHIPSTOCK.
NO 15/9-19 A,MILLED FROM 2202-2205 M. DECREASE IN ROP - NOT MAKING ANY PROGRESS IN MILLING THROUGH WINDOW.
NO 15/9-19 A,"FLOWCHECKED, PUMPED SLUG & POOH WITH MILLING BHA."
NO 15/9-19 A,"TIH TO 2187 M WITH 9 5/8"" BRIDGE PLUG ON DP."
NO 15/9-19 A,SET BRIDGE PLUG AT 2187 M L.A.T. CONFIRMED SETTING BY SLACKING-OFF 10 MT DOWN ON PLUG.
NO 15/9-19 A,PUMPED 10 M3 HI-VIS PILL & CIRCULATED OUT.
NO 15/9-19 A,"FLOWCHECKED, PUMPED SLUG & POOH WITH EZSV M.S.T."
NO 15/9-19 A,MU BAKER WINDOWMASTER WHIPSTOCK ASSEMBLY. TIH WITH BHA ON DP.
NO 15/9-19 A,COMPLETED TIH WITH WHIPSTOCK TO 2170 M.
NO 15/9-19 A,ATTEMPTED TO CIRCULATE; STRING PLUGGED. RU & REVERSE CIRCULATED 1 DRILLSTRING VOLUME & UNPLUGGED STRING.
NO 15/9-19 A,ORIENTED WHIPSTOCK USING MWD. SET ANCHOR ON WHIPSTOCK.
NO 15/9-19 A,"CUT WINDOW IN 9 5/8"" CASING USING WHIPSTOCK. TOP OF WINDOW = 2178 M; BOTTOM OF WINDOW = 2183 M. FLOW RATE = APPROX. 1000 LPM AT 74 BAR."
NO 15/9-19 A,DRILLED/MILLED NEW FORMATION FROM 2183 - 2198M. FLOW RATE = 1500 LPM AT 125 BAR.
NO 15/9-19 A,"FINISHED DRILLING TO 2202 M - TOTAL OF 19 M OF FORMATION DRILLED BEYOND WINDOW'S BOTTOM. PU & SO THROUGH WINDOW 5 TIMES - NO PROBLEMS."
NO 15/9-19 A,PU ABOVE TOP OF WINDOW & PUMPED 5 M3 HI-VIS PILL. CIRCULATED HOLE CLEAN AT 2000 LPM AT 195 BAR. FLUSHED CHOKE & KILL LINES & BOOSTED RISER.
NO 15/9-19 A,POOH TO MU DRILLING BHA.
NO 15/9-19 A,FINISHED HANDLING WHIPSTOCK/MILLING BHA.
NO 15/9-19 A,"MU DRILLING BHA & TIH TO 430 M WITH NEW 8 1/2"" PDC BIT."
NO 15/9-19 A,S/C DRILLINE.
NO 15/9-19 A,ELECTRICAL PROBLEM WITH TOP DRIVE SYSTEM; REPAIRED SAME.
NO 15/9-19 A,CONTINUED TO TIH TO 2161 M.
NO 15/9-19 A,ORIENTED TOOL-FACE.
NO 15/9-19 A,RIH SLOWLY-NO ROTATION OR CIRCULATION-FROM 2161 - 2190 M. WINDOW IN CASING FROM 2178 - 2183 M. MADE CHECK TRIP TO 2175 M; NO PROBLEMS PASSING THROUGH WINDOW.
NO 15/9-19 A,BROKE CIRCULATION. WASHED DOWN FROM 2190 - 2202 M / TD.
NO 15/9-19 A,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2202 - 2311 M."
NO 15/9-19 A,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2311 - 2405 M."
NO 15/9-19 A,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2405-2653 M."
NO 15/9-19 A,CIRCULATED TO CLEAN HOLE.
NO 15/9-19 A,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2653 - 2711 M."
NO 15/9-19 A,"DRILLED/ORIENTED 8 1/2"" HOLE FROM 2711 - 2768 M. HAD PROBLEMS TURNING WELLPATH TO THE RIGHT."
NO 15/9-19 A,CIRCULATED HOLE CLEAN IN PREPARATION FOR TRIP OUT.
NO 15/9-19 A,"POOH FOR BHA CHANGE DUE TO DIRECTIONAL PROBLEM - NOT ENOUGH TURN TO RIGHT IN AZIMUTH. NOTE-NO PROBLEM IN TOH THROUGH 9 5/8"" CASING WINDOW.      UNABLE TO DOWNLOAD MEMORY FROM MWD AFTER TRYING FOR 1 HOUR."
NO 15/9-19 A,"INCREASED AKO MOTOR FROM 1,2 DEGREES TO 1,5 DEGREES & MU INSERT BIT FOR DIRECTIONAL REASON/CONTROL. TIH TO 2768 M -TD. NOTE-TOOK 5 MT WEIGHT TO PASS THROUGH WINDOW WITH MOTOR/BIT."
NO 15/9-19 A,CIRCULATED HOLE CLEAN IN PREPARATION FOR RUNNING GYRO SURVEY INSIDE OF DRILLSTRING. (CIRCULATION RATE = 2500 LPM AT 290 BAR.) NOTE: PREPARED/RU TO RUN GYRO WHILE CIRCULATING.
NO 15/9-19 A,CONTINUED CIRCULATING WHILE RU TO RUN GYRO.
