nameWell,comments
NO 15/9-19 B,"KICKED-OFF/SIDETRACKED 8 1/2"" HOLE - DRILLED FROM 2911 - 3021 M. BOOSTING RISER CLEAN EVERY 3 HOURS WHILE DRILLING."
NO 15/9-19 B,"CIRCULATED UNTIL SHAKERS CLEANED-UP; BOOSTED RISER CONSTANTLY FOR 2,5 HOURS. CAVINGS RETURNING TO SURFACE TOWARDS LAST PART OF CIRCULATION."
NO 15/9-19 B,DRILLED FROM 3021 - 3042 M.
NO 15/9-19 B,"DRILLED 8 1/2"" HOLE FROM 3042 - 3152 M. BOOSTING RISER EVERY 3 HOURS WHILE DRILLING."
NO 15/9-19 B,CIRC. BOTTOMS UP & BOOSTED RISER IN PREPARATION FOR TOH.
NO 15/9-19 B,POOH FOR BIT CHANGE. NOTE: EXCESSIVE DRAG FROM 2930 - 2825M;MAXIMUM DRAG = 30 MT/KOP=2911M.
NO 15/9-19 B,FINISHED POOH. BREAK-OFF BIT. CHECKED MOTOR-OK;CHECKED MWD SCREEN-OK.
NO 15/9-19 B,"MU NEW 8 1/2"" BUTTON BIT & FUNCTION TESTED MOTOR & MWD. SERVICED TDS WHILE CHECKING MOTOR/MWD'S SCRIBE LINE. COMPLETED MU BHA & RIH TO DRILL AHEAD."
NO 15/9-19 B,"CONTINUED TO RIH WITH NEW 8 1/2"" BIT TO 2687 M; TOOK 15MT WEIGHT."
NO 15/9-19 B,WASHED/REAMED FROM 2687 - 3152 M/TD.
NO 15/9-19 B,"DRILLED 8 1/2"" DIRECTIONAL HOLE FROM 3152 - 3220 M; 10 M INTO TY FORMATION. BOOSTED RISER CONSTANTLY Ø 100 SPM WHILE DRILLING. ROTATED DRILLSTRING DURING ENTIRE INTERVAL."
NO 15/9-19 B,CIRCULATED BOTTOMS UP IN PREPARATION FOR TOH; CONSTANTLY BOOSTING RISER - CUTTINGS STILL COMING ACROSS SHAKERS. TOOK TORQUE & WEIGHT READINGS FOR NODECO HANGER REPS.
NO 15/9-19 B,"FLOW-CHECKED HOLE IN PREPARATION TO POOH - 0,95 M3 MUD BACK TO TRIP TANK IN 30 MINUTES. HOLE DIDN'T STOP FLOWING."
NO 15/9-19 B,"CIRCULATED UNTIL BOTTOMS UP WAS 11,2 M3 BELOW BOPS. S/I WELL; SICP = 0 BAR AFTER 15 MINUTES. CIRCULATED BOTTOMS UP THROUGH CHOKE/CHOKE LINE Ø 400 LPM. NO GAS SEEN."
NO 15/9-19 B,OPENED WELL & CIRCULATED BOTTOMS UP AGAIN & BOOSTED RISER. NO GAS SEEN.
