nameWell,comments
NO 15/9-19 S,"SIDETRACKED AND DRILLED 12 1/4"" HOLE. DRILLED/SURVEYED FROM 1493M TO 1536M: STEERED FROM 1493 TO 1507M, 1509-1511M, 1513-1523M AND 1531-1536M. (100-120 DEG.RIGHT TF) INCREASED MW FROM 1,35 TO 1,40 SG.WHILE DRILLING."
NO 15/9-19 S,"CONT. DRILLING/SURVEYING 12 1/4"" HOLE TO 1588M: STEERED FROM 1536M TO 1551M AND 1562M TO 1580M. (80-85 DEG. RIGHT TOOLFACE)"
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 1588M TO 1630M: STEERED FROM 1589 TO 1608M,  100 DEGREES RIGHT."
NO 15/9-19 S,CIRCULATED BOTTOMS UP DUE TO EXCESSIVE AMOUNT OF CUTTINGS OVER SHAKERS.
NO 15/9-19 S,BACKREAMED FROM 1630M TO 1485M.
NO 15/9-19 S,CIRCULATED BOTTOMS UP.
NO 15/9-19 S,RIH TO 1630M.
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 1630M TO 1653M: STEERED FROM 1643M TO 1653 M, TOOLFACE 110 DEG. LEFT. OBSERVED 70 BAR INCREASE IN PUMP PRESSURE."
NO 15/9-19 S,"PUMPED 3 M3 ESTER PILL.  SWEPT PILL AROUND, NO EFFECT."
NO 15/9-19 S,BACKREAMED FROM 1653M TO 1000M.
NO 15/9-19 S,CIRCULATED HOLE CLEAN.  HAD HIGH AMOUNT OF CUTTINGS OVER THE SHAKERS FROM CASING.   PUMPED SLUG.
NO 15/9-19 S,POOH
NO 15/9-19 S,CONTINUED POOH. INSPECTED BHA FOR DAMAGE/BLOCKAGE. FOUND 2 NOZZLES PLUGGED WITH FLAKE OF REINFORCED RUBBER FROM MUD MOTOR. LAID DOWN MUD MOTOR AND BIT. RACKED BACK MWD IN DERRICK.
NO 15/9-19 S,MADE UP NEW MUD MOTOR AND BIT.  TESTED MUD MOTOR. RIH WITH BHA.
NO 15/9-19 S,"CONTINUED MAKING UP BOTTOMHOLE ASSEMBLY. ORIENTED TOOL FACE. RAN IN TO  250M. ATTEMPTED TESTING THE MWD TOOL, NEGATIVE."
NO 15/9-19 S,POOH. LAID DOWN MWD TOOL. PICKED UP A NEW MWD TOOL AND TESTED SAME. RAN BACK IN TO 250M.
NO 15/9-19 S,CONTINUED RIH TO 1485M.  FILLED PIPE AT 700M.
NO 15/9-19 S,REAMED HOLE FROM 1485M TO 1653M.
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 1653M TO 1799M: STEERED FROM 1653 TO 1658M (120 DEGR. LEFT), 1665-1679 (120 L), 1694-1709 (80 L), 1723-1738 (110 L), 1752-1767 (110 L) AND 1780-1795 (110 L)."
NO 15/9-19 S,"CONTINUED DRILLING/SURVEYING 12 1/4"" HOLE FROM 1799M TO 1926M: STEERED FROM 1809M TO 1824M (DIRECTION 115 DEGREES LEFT)."
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 1926M TO 2241M: STEERED FROM 1982M TO 1992M (DIRECTION 90 DEGREES RIGHT)."
NO 15/9-19 S,"CONTINUED DRILLING 12 1/4"" HOLE FROM 2241M TO 2357M: STEERED FROM 2242M TO 2248M (DIRECTION 120 DEGREES RIGHT)."
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 2357M TO 2502M: STEERED FROM 2385M TO 2392M (DIRECTION 130 DEGREES RIGHT)"
NO 15/9-19 S,CIRCULATED BOTTOMS UP
NO 15/9-19 S,"BACK-REAMED FROM 2502M TO 13 3/8"" SHOE AS PRECAUTION."
NO 15/9-19 S,CIRCULATED BOTTOMS UP
NO 15/9-19 S,INVESTIGATED ALARM ON TDS. FOUND AIR BLOWER HOSE TO HAVE JUMPED OFF. RE-INSTALLED SAME.
NO 15/9-19 S,RAN BACK IN TO 2502M.  FILLED PIPE AND CIRCULATED A RISER VOLUME AT 1950M.
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 2502M TO 2559M: STEERED FROM 2502M TO 2510M (DIRECTION 75 DEGREES RIGHT)"
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 2559M TO 2840M: STEERED FROM 2559 TO 2568M (DIRECTION 90 DEGREES RIGHT) AND FROM 2763 TO 2775M (HIGH SIDE)."
NO 15/9-19 S,"CONTINUED DRILLING/SURVEYING 12 1/4"" HOLE TO 2938M."
NO 15/9-19 S,"DRILLED/SURVEYED 12 1/4"" HOLE FROM 2938M TO 3018M."
NO 15/9-19 S,CIRCULATED BOTTOMS UP
NO 15/9-19 S,BACKREAMED FROM 3018M TO 2952M.   HOLE PACKED OFF.  LOST RETURNS. UNABLE TO ROTATE.
NO 15/9-19 S,RAN IN FROM 2952M TO 2968M.  ESTABLISHED ROTATION AND CIRCULATION. ONLY PARTIAL RETURNS WHEN PUMPING MORE THAN 1200 LPM.
NO 15/9-19 S,"RAN IN TO 3017M.  PUMPED AND SET 7,1 M3 LIQUID CASING LCM-PILL FROM 3017M TO 2927M WHILE PULLING BACK TO 2957M, FULL RETURNS. AT 2957M, HOLE PACKED OFF.  UNABLE TO ROTATE.  RAN BACK IN TO 2963M."
NO 15/9-19 S,"AT 2963M, REESTABLISHED ROTATION AND CIRCULATION. KEEPING 40 RPM ON THE DRILL STRING, INCREASED CIRCULATION RATE IN STEPS TO 1300 LPM, FULL RETURNS."
NO 15/9-19 S,"CONTINUED INCREASING CIRCULATION RATE TO 1900LPM, FULL RETURNS."
NO 15/9-19 S,"INCREASED CIRCULATION RATE TO 2600 LPM, FULL RETURNS. KEPT 40 RPM ON DRILL STRING."
NO 15/9-19 S,BACKREAMED OUT OF HOLE FROM 2963M TO 2941M.
NO 15/9-19 S,"CONTINUED BACKREAMING FROM 2941M TO 2936M.   HOLE PACKED OFF AND STRING STALLED OUT.       ATTEMPTED WORKING PIPE DOWN WITH 40 TONS, NO-GO.  ATTEMPTED TO JAR DOWN, NO-GO.  ATTEMPTED WORKING PIPE DOWN WITH TORQUE, NO-GO.    PULLED 60 TONS OVERPULL ON PIPE. WORKED PIPE DOWN TO 2941M. REESTABLISHED ROTATION AND CIRCULATION."
NO 15/9-19 S,CIRCULATED AND ROTATED PIPE AT 2941M.   INCREASING AMOUNT OF CUTTINGS OVER SHAKERS.    WORKED PIPE DOWN TO 2961M.
NO 15/9-19 S,"PUMPED 10 M3 LO-VIS PILL FOLLOWED BY 10 M3 HI-VIS PILL, CIRCULATED PILLS AROUND."
NO 15/9-19 S,"CONTINUED CIRCULATING.  RAISED MUDWEIGHT TO 1,45 SG."
NO 15/9-19 S,"PUMPED 20 M3 HI-VIS 1,6 SG PILL. CIRCULATED SAME AROUND."
NO 15/9-19 S,CIRCULATED TO RECORD CUTTINGS RETURNS.
NO 15/9-19 S,CONTINUED CIRCULATING HOLE.
NO 15/9-19 S,"CIRCULATED AND RAISED MUDWEIGHT TO 1,50 SG."
