nameWell,comments
NO 15/9-F-1 C,"Drilled 17 1/2"" hole from 1364 m to 1482 m with 4000 lpm, 230 bar, 130 rpm, 10-18 kNm, 6-8 WOB. ECD 1,44 SG, ROP 15-40 m/hr. Max gas 1,47 %. Obtained surveys as required"
NO 15/9-F-1 C,"Circulated btm's up prior to perform check trip to inside 20"" shoe with 4000 lpm, 230 bar, 130 rpm, 3-6 kNm. ECD 1,44 SG. Max gas 1,46 %. Reciprocated pipe."
NO 15/9-F-1 C,Flow checked well for 15 min. Well static.
NO 15/9-F-1 C,"POOH with 17 1/2"" BHA on 5 1/2"" DP from 1482 m to 1338 m, 10 m inside 20"" shoe. No drag observed when entered 20"" shoe at 1348 m."
NO 15/9-F-1 C,"RIH with 17 1/2"" BHA on 5 1/2"" DP from 1338 m to 1442 m. No drag observed when entered open hole at 1348 m."
NO 15/9-F-1 C,"Established circulation with 3500 lpm, 180 bar. Washed down from 1442 m to 1482 m. No drag or fill observed. Sent down link to autotrak."
NO 15/9-F-1 C,"Drilled 17 1/2"" hole from 1482 m to 1502 m with 4000 lpm, 240 bar, 130 rpm, 5-8 kNm, 2-3 WOB. Controled ROP 12 m/hr. ECD 1,44 SG. Max gas 0,02 %. Obtained surveys as required."
NO 15/9-F-1 C,"Drilled 17 1/2"" hole from 1502 m to 1522 m with 4000 lpm, 240 bar, 130 rpm, 7-11 kNm, 2-3 WOB. Controled ROP 12 m/hr due to waiting on weather to discharge cuttings to cuttings vessel. ECD 1,43 SG. Max gas 0,03 %. Obtained surveys as required."
NO 15/9-F-1 C,Back reamed 1 single from 1522 m 1509 m. Took survey. Evaluated to drill ahead due to space for slurry in isotanks.
NO 15/9-F-1 C,"Took SCR @ 1522 m, MW 1,4 SG, 30/40/50 stroks MP # 1 4/9/15 bar, MP # 2 5/8/16 bar."
NO 15/9-F-1 C,"Drilled 17 1/2"" hole from 1522 m to 1531 m with 4000 lpm, 240 bar, 130 rpm, 5-7 kNm, 10 WOB. Controled ROP 12 m/hr due to waiting on weather to discharge cuttings to cuttings vessel. ECD 1,43 SG. Max gas 0,03 %. Obtained surveys as required."
NO 15/9-F-1 C,Flow checked well due to 200 ltr gain observed in active pit. Well static.
NO 15/9-F-1 C,"Drilled 17 1/2"" hole from 1531 m to 1540 m with 4000 lpm, 240 bar, 130 rpm, 6-15 kNm, 10 WOB. Controled ROP 12 m/hr due to waiting on weather to discharge cuttings to cuttings vessel.. ECD 1,44 SG. Max gas 0,02 %. Obtained surveys as required."
NO 15/9-F-1 C,"Waited one weather, not able to discharge cuttings to vessel due to bad weather.                           Circulated btm's up due to full iso tanks with 4000 lpm, 235 bar, 130-140 rpm, 3-6 kNm. ECD 1,43 SG. Max gas 0,02 %. Reciprocated pipe."
NO 15/9-F-1 C,"WOW.
R/B drilling stand # 33. Circulated well clean prior to pull inside 20"" shoe with 4000 lpm, 227 bar, 130 rpm, 3-6 kNm. ECD 1,42 SG. Max gas 0,01 %. Reciprocated pipe from 1523 m to 1482 m."
NO 15/9-F-1 C,"WOW.
Flow checked. Well static.
"
NO 15/9-F-1 C,"WOW.
POOH with 17 1/2"" BHA on 5 1/2"" DP from 1509 m to 1321 m, 27 m inside 20"" shoe. No drag observed when entered 20"" shoe at 1348 m.
Performed kick drill with crew
"
NO 15/9-F-1 C,"WOW.
Performed service on traveling block, TDS and dolly.
Serviced draworks brake. Cleaned and cleared rig floor.
General service on drilling equipment and PM.
"
NO 15/9-F-1 C,"WOW.
Performed pre-job meeting with crew prior to RIH.
"
NO 15/9-F-1 C,"WOW.
RIH with 17 1/2"" BHA on 5 1/2"" DP from 1321 m to 1525 m. No drag observed when entered open hole at 1348 m.
"
