nameWell,comments
NO 15/9-F-11 B,"Drilled 12 1/4"" hole from 2614 m MD to 2627 m MD with 2807 liter/min, 164-168 bar, 155 rpm, 9-13 kNm, WOB 6-13 MT."
NO 15/9-F-11 B,"Drilled and orientated 12 1/4"" hole from 2627 m MD to 2787 m MD with 3400-3800 liter/min, 170-279 bar, 240-270 rpm, 12-22 kNm, WOB 4-9 MT, ECD 1,31-132 sg EMW.
Average ROP 19 meter/hour."
NO 15/9-F-11 B,"Drilled and orientated 12 1/4"" hole from 2787 m MD to 2855 m MD with 3815-3954 liter/min, 265-278 bar, 260-300 rpm, 14-24 kNm, WOB 8-21 MT, ECD 1,31-132 sg EMW.
Average ROP 11,5 meter/hour."
NO 15/9-F-11 B,"Drilled and orientated 12 1/4"" hole from 2855 m MD to 2917 m MD with 3815-3954 liter/min, 252-261 bar, 120 rpm, 10-22 kNm, WOB 6-21 MT, ECD 1,29 sg EMW.
Average ROP 5,2 meter/hour.
- Decision made to POOH for bit change."
NO 15/9-F-11 B,Reamed up off bottom to 2908 m MD. Sent down linked to Rips off and racked back stand.
NO 15/9-F-11 B,Flowchecked well for 30 min -  Well static
NO 15/9-F-11 B,"POOH wet with 12 1/4""  BHA on 5 1/2""  DP from 2908 m MD to 2546 m MD. 
Average tripping speed 241 m/hr."
NO 15/9-F-11 B,"Flowchecked well for 30 min - Well Static.
"
NO 15/9-F-11 B,"POOH with 12 1/4""  BHA on 5 1/2""  DP from 2546 m to 368 m . 
Average tripping speed 871 m/hr."
NO 15/9-F-11 B,"POOH with 12 1/4""  BHA from 368 m to 286 m."
NO 15/9-F-11 B,Flowchecked well for 30 min - Well static
NO 15/9-F-11 B,"POOH with 12 1/4""  BHA on 5 1/2""  DP/HWDP from 286 m to 125 m."
NO 15/9-F-11 B,Removed auto slips and installed master bushing.
NO 15/9-F-11 B,"POOH with 12 1/4""  BHA on 6 5/8""  HWDP from 125 m to 14 m.."
NO 15/9-F-11 B,"Plugged in and verified MWD tools. L/D mud motor, CoPilot, AutoTrack and 12 1/4"" bit.
Bit Gradding: 1-3-WT-N-X-1/16-LT-PA"
NO 15/9-F-11 B,Cleaned and Cleared rig floor.
NO 15/9-F-11 B,"P/U back-up 12 1/4"" bit, AutoTrack, CoPilot, mud motor and M/U same."
