nameWell,comments
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1381 m to 1467 m MD. Invalid surveys due to interference from adjacent 9 5/8"" casing. Drilling parameters : 4000-4500 lpm / SPP 188-230 bar / 1-4 MT WOB / 80-100 RPM / Torque 6-10 kNm / ECD 1,43-1,47. Controlled ROP to 12 m/hrs as dictated by cuttings handling. Downlinked powerdrive as per DD instructions."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1467 m to 1478 m MD. Obtained first good survey at 1478 m MD. Drilling parameters : 4500 lpm / SPP 228 bar / 3 MT WOB / 80-100 RPM / Torque 10 kNm / ECD 1,43-1,44. Attempted to increase ROP to 20 m/hrs, resulted in blockaged in cuttings injection system (active tank). Dercreased ROP to 15 m/hrs as dictated by cuttings handling. Downlinked powerdrive according to DD instructions."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1478 m to 1525 m MD. Drilling parameters : 4500 lpm / SPP 227 bar / 2-3 MT WOB / 130 RPM / Torque 9-12 kNm / ECD 1,43-1,44. Controlled ROP to 18 m/hrs as dictated by cuttings handling. Downlinked powerdrive according to DD instructions."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1525 m to 1608 m MD. Drilling paramaters : 4500 lpm / SPP 236 bar / 3-4 MT WOB / 130 RPM / torque 10 kNm / ECD 1,44-1,45 Controlled ROP to 18 m/hrs due to cuttings handling. Performed MWD survey on connections. Downlinked powerdrive according to DD instructions."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1608 m to 1635 m MD. Got problems with cuttings handling. Mill loop on active tank got blocked. Worked to unblock line. Meanwhile continued drilling at lower ROP and routed cuttings to skips as required. Drilling parameters : 4000 lpm / SPP 195 bar / 2-3 MT WOB / 130 RPM / torque 8-10 kNm / ECD 1,44. Controlled ROP to 5-10 m/hrs as dictated by cuttings handling and toubleshoting."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1635 m to 1761 m MD. Drilling paramaters : 4500 lpm / SPP 237-244 bar / 4-6 MT WOB / 130 RPM / Torque 7-13 kNm / ECD 1,44-1,45. Controlled ROP to 20 m/hrs due to cuttings handling. Performed MWD survey on connections. Downlinked powerdrive according to DD instructions."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1761 m to 1801 m MD. Drilling paramaters : 4500 lpm / SPP 245 bar / 6-8 MT WOB / 130 RPM / torque 10-13 kNm / ECD 1,43-1,44. Controlled ROP to 20 m/hrs due to cuttings handling. Performed MWD survey on connections. Downlinked powerdrive according to DD instructions. Had problems with spooling on PRS lift wire drums."
NO 15/9-F-15 A,Removed flush joint elevator on PRS in order to fix spooling problem. Ran gripper head to floor and re-spooled drums. Meanwhile reamed on stand and downlinked powerdrive.
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1801 m to 1833 m MD. Drilling paramaters : 4500 lpm / SPP 246 bar / 5-7 MT WOB / 130 RPM / torque 12 kNm / ECD 1,43-1,44. Controlled ROP to 20 m/hrs due to cuttings handling."
NO 15/9-F-15 A,"Drilled and oriented 17 1/2"" hole from 1833 m to 1841 m MD. Drilling parameters : 4500 lpm / SPP 248 bar / 6 MT WOB / 140 RPM / torque 8-12 kNm / ECD 1,44. Controlled ROP to 20 m/hrs due to cuttings handling. Performed MWD survey on connections. Downlinked powerdrive according to DD instructions."
