nameWell,comments
NO 15/9-F-15 D,"Drilled with reduced rate from 1373m to 1403m with 3000-4010 liter/min, 50 % return of formation at 1380m, 155-237 bar, 122 rpm, 6-12kNm, ROP 2-5 m/hr, WOB 3-5 ton, ECD 1,438 sg. Max gas 0,04%
Obtained surveys as required"
NO 15/9-F-15 D,"Drilled from 1403m to 1484m with 4000 liter/min, 235 bar, 80-120 rpm, 12-25 kNm, ROP 27-29 m/hr, WOB 2-10 ton, ECD 1,420 sg. Max gas 0,05 %.
Obtained surveys as required"
NO 15/9-F-15 D,Recorded SCR`s.
NO 15/9-F-15 D,"Drilled 17 1/2"" hole from 1484 m to 1654 m with 4000 liter/min, 235 bar, 138-142 rpm, 13-22 kNm, ROP 27-31 m/hr, WOB 3-8 ton, ECD 1,420-1,424 sg. Max gas 0,05%.

Meanwhile picked up and racked back 13 3/8"" casing in derrick."
NO 15/9-F-15 D,"Circulated hole clean with 4500 liter/min, 280 bar.
3 x bottoms up.
Racked back one stand each bottoms up.

"
NO 15/9-F-15 D,"POOH wet into 20"" shoe with 17 1/2"" BHA on 5 1/2"" DP from 1443 m to 1321 m."
NO 15/9-F-15 D,"Waited one weather.
Monitored well on triptank. Observed loss rate of 150 liter/hour.

Called in Ocean Price for cuttings discharge at 21:30 hrs.

Meanwhile:
Picked up and racked back 13 3/8"" casing in derrick.
Performed planned maintenance.
"
NO 15/9-F-15 D,"RIH with 17 1/2"" BHA on 5 1/2"" DP from 1321 m to 1378 m.
Unable to pass 1378 m.
Established circulation with 2000-3300 liter/min, 77-165 bar, 5-15 rpm, 2-24 kNm, WOB 15-24 Ton.
Worked string past 1378 meter."
NO 15/9-F-15 D,"RIH with 17 1/2"" BHA on 5 1/2"" DP from 1378 m to 1648 m."
NO 15/9-F-15 D,"Washed down with 17 1/2"" BHA  from 1648 m to 1654 m at 3000 liter/min, 170 bar."
NO 15/9-F-15 D,"Drilled 17 1/2"" hole from 1654 m to 1670 m with 4000 liter/min, 280 bar, 140 rpm, 11-21 kNm, ROP 31-36 m/hr, WOB 7-9 ton, ECD 1,420 sg. Max gas 0,04%.

Meanwhile picked up and racked back 13 3/8"" casing in derrick."
