nameWell,comments
NO 15/9-F-5,
NO 15/9-F-5,Held tool box talk prior to skidding of the cantilever from F-14 to F-5
NO 15/9-F-5,Skidded the catilever from F-14 to F-5.
NO 15/9-F-5,Started to re-establish rig condition for operation.
NO 15/9-F-5,"Installed handrails on weather deck and lower levels in well head modul.
"
NO 15/9-F-5,"Held tool box talk with day shift. Removed hatch cover from F-5 at well bay area. Failure on TDS.
"
NO 15/9-F-5,"Prepared and installed the rotating link adapter to TDS. Meanwhile removed hatch covers on F-14 prior to installing DCI stab for CRI hose.
"
NO 15/9-F-5,"Performed derrick inspection prior to start drilling 36"" hole.
"
NO 15/9-F-5,"Held tool box talk. Picked up and made up the 36"" BHA assembly. RIH with the 36"" BHA. Meanwhile ROV prepared to install DCI stab for CRI hose."
NO 15/9-F-5,"Installed oil filter and solenoid valve to TDS. Function tested TDS, the rotating link adapter and torque wrench. Meanwhile prepared and connected DCI stab for CRI hose."
NO 15/9-F-5,"Serviced and inspected the TDS prior to start drilling the 36"" hole. Prepared for moving drill cutting funnel from F-5.
"
NO 15/9-F-5,Moved the drill cutting funnel from F-5. Using tugger and ROV.
NO 15/9-F-5,"36"" BHA entered slot # 5 assisted by ROV."
NO 15/9-F-5,"Attempted to wash down 36"" BHA through template. 
Drilled 36"" hole from 144 m to 149 m MD.
Drilling parameters : Flow 1000 lpm /  SPP 4-5 bar / 18 RPM / Torque 3-12 kNm / WOB  1-10 MT. Drilling bushing landed out in template guide-funnel.
Parked ROV in garage. 
"
NO 15/9-F-5,"Drilled 36"" hole from 149 m  to 155 m MD. 
Drilling parameters : Flow 1000 lpm /  SPP 2 bar / 20 RPM / Torque 2-4 kNm / WOB 1-2 MT / ROP 3,5 m/hr."
NO 15/9-F-5,"Drilled 36"" hole from 155 m  to 164 m MD. 
Drilling parameters : Flow 1000-2200 lpm /  SPP 2-15 bar / 20-70 RPM / Torque 2-9 kNm / WOB 2-3 MT / ROP 1-4.5 m/hr.  Pumped 20m³ hi-vis pills prior to connection.

Survey at 150.92 m 0.63 inc"
NO 15/9-F-5,"Reamed hole from 164 m to 155 m 
Reaming parameters : Flow 3100 lpm /  SPP 36 bar / 70-90 RPM / Torque 2-4 kNm 

1. survey at 150.92 m 0.63 inc
2. survey at 150.92 m 0.57 inc
"
NO 15/9-F-5,"Drilled 36"" hole from 164 m  to 165 m MD. 
Drilling parameters : Flow 4000 lpm /  SPP 66 bar / 90 RPM / Torque 2-6 kNm / WOB 0-1 MT / ROP 12 m/hr."
NO 15/9-F-5,"Drilled 36"" hole from 164m  to 226m MD.(17½"" bit depth) 
Drilling parameters: Flow 4000-4640 lpm /  SPP 62-84 bar / 90 RPM / Torque 2-8 kNm / WOB 1-3 MT / ROP 6-18 m/hr. 

Pumped 20 m3 hi-vis pills prior to connection. 

Survey at 177 m 0.55 inc
Survey at 187 m 0.47 inc
Survey at 197 m 0.46 inc
Survey at 207 m 0.27 inc
Survey at 217 m 0.33 inc
Survey at 225 m 0.26 inc
"
NO 15/9-F-5,"TD with 17½"" bit at 226m, TD 36"" HO 222.8m. Circulated with sea water and pumped 25m³ hi-vis pills. Displaced well to 1.4 SG mud."
NO 15/9-F-5,"Held tool box talk prior to POOH. Started to POOH at 226m. Took 20MT overpull at 213m. Made up TDS and rotated pipe without pumping. Attempted to work through tight spot without rotation. Commenced to pump sea water at 1000 lpm and 30 rpm. Worked string reaming through tight spot. Slided back to bottom. Reciprocated string and circulated bottom up with sea water at 4600 lpm. Went back to bottom and pumped 20m³ hi-vis pill and displaced well to 1.4 SG mud.
"
NO 15/9-F-5,"POOH with 36"" BHA from 226m to 150m. 
"
NO 15/9-F-5,"At 150m, 5m below sea bed topped up hole with 5m³ 1.4 SG mud. Continued POOH with 36"" BHA from 150m to 131m."
NO 15/9-F-5,"Held tool box talk with night shift prior to POOH with the 36"" BHA.
"
NO 15/9-F-5,"General check of handling gear and checked dies in PRS's. Found FWD PRS dies to be normal dies.
"
NO 15/9-F-5,"Changed out dies in FWD PRS to Monell dies. 
"
NO 15/9-F-5,"POOH with 36"" BHA from 131m to 20m and racked back in derrick.
"
NO 15/9-F-5,"POOH with 36"" HO, cleaned and checked HO found in good condition. Laid out 36"" HO. Simultaneously ROV/Halliburton prepared forpressure testing of the CRI hose.
"
NO 15/9-F-5,"Removed elevators, bails and installed cradles on HTS. Meanwhile operated the CRI valve.Pressure tested the CRI hose to 200bars 10 min, 47l 100bars and 65l 200bars."
NO 15/9-F-5,"Serviced and inspected the TDS.
"
NO 15/9-F-5,Isolated and de-isolated TDS.
NO 15/9-F-5,"Held tool box talk prior to rig surface equipment for running conductor. Rigged up same.
"
NO 15/9-F-5,"Held tool box talk with all involved personnel prior to RIH with 30"" conductor"
NO 15/9-F-5,"Picked up 30"" conductor shoe. Installed 30"" bushing and landed conductor in rotary. Filled 30"" conductor with water and tested float."
NO 15/9-F-5,"Continued to run in with 30"" conductor from 8m to 84m. Tool box talk was held with day shift, prior to running in with 30"" conductor.
"
NO 15/9-F-5,"Held tool box talk prior to change from 30"" to 5½"" handling equipment. Changed handling equipment
"
NO 15/9-F-5,"Held tool box talk prior to pick up well head housing. Commenced picking up well head housing. Lost communication to auxiliary control.
"
NO 15/9-F-5,"Re-established communication to auxiliary control.
"
NO 15/9-F-5,"Picked up and made up the 30"" housing. Made up torque is 36 000 ft-lbs (49.000 Nm). Engage locking system with lock-plate. Secure with cap-screws. Inspect housing. Made several attempts to remove the 30"" housing protector."
NO 15/9-F-5,"Cut of the protector of the 30"" housing.
"
NO 15/9-F-5,Broke out housing handling tool. Laid out same. Filled the conductor with sea water to minimize the movement of the conductor.
NO 15/9-F-5,"Held tool box talk prior to handling of the aluminum inner string. Rigged up inner string C-Plate on top of 30"" housing joint. Secure plate. Ran aluminum cement stinger. Installed the X-O for the CART.
"
NO 15/9-F-5,"Picked the CART from derrick and made up to X-O. Locked CART to housing as per Vetco instruction. Installed inclinometer and handle on 2"" fill up valve on CART. Simultaneously rigged up tugger in well bay area for ROV guide lines.
"
NO 15/9-F-5,"Performed pull test on CART tool. Removed C-plate. Ran conductor through rotary, and inserted master bushing."
NO 15/9-F-5,"Ran in with 30"" conductor on 5½"" HWDP from 84m to 105m. Attached wire sling to conductor housing for pulling arrangement if need it. 
"
NO 15/9-F-5,"Continued run in with 30"" conductor on 5½"" HWDP from 105m to 135m, well head level.
"
NO 15/9-F-5,"Connected up to TDS and filled conductor at 900 lpm, 3,8 bars. Positive indication at shoe.
"
NO 15/9-F-5,"Ran in with 30"" conductor on 5½"" HWDP from 135m to 147m. Entered the template.
"
NO 15/9-F-5,"Continued RIH with 30"" conductor on 5½"" HWDP from 147m to 220.8m.
"
NO 15/9-F-5,"Made up side entry sub and made up to TDS.
"
NO 15/9-F-5,"Established circulating with 2"" valve open at CART tool. Hook load 110 MT. ROV confirmed returns at 2"" valve. 
"
NO 15/9-F-5,"Closed 2"" valve and established circulation through the 30"" shoe.
"
NO 15/9-F-5,"Verified setting depth with Digiquartz against F-7. Final 110 MT hook load. Checked centralization of conductor housing - OK. Inclination 0.22/0.28 degrees.
"
NO 15/9-F-5,"Established circulation at 2500 lpm, 3,8 bars, 112 MT hook load. ROV confirmed 2"" valve not to be leaking and surveyed for returns, Observed returns from F-5 only. Meanwhile pressure tested cement line to 200 bars 10 min.
"
NO 15/9-F-5,"Mixed and pumped 55.7 m³ 1.52 sg Tuned Light XL cement slurry at 1100 lpm, 25 bars pump pressure. Confirmed returns to seabed. Displaced cement slurry with 6.7 m³ of SW at max rate using cement unit. FCP 7bars, 600lpm. Bled off pressure, 250 l. Checked for back-flow. Removed cmt hose and flushed through manifolds and hoses.
"
NO 15/9-F-5,"Waited on cement to set. Meanwhile prepared for wire change on FWD PRS, General maintenance. Started injecting slop into F-12 annulus."
NO 15/9-F-5,"Waited on cement to set. Meanwhile function tested rotating link adapter and torque wrench. Prepared cantilever for skidding to F-15. Performed general maintenance on the rig floor. Injected slop into F-12 injection annulus.
"
NO 15/9-F-5,"Confirmed inclinometer before release of CART. Released CART tool. Broke out and laid out the side entry sub and two 5½"" pups. Racked back one stand. Dropped one sponge ball and flushed landing string and inner string with sea water. Continued pull out with landing string. With CART in rotary removed 2"" valve handle and inclinometer. Function tested CART.

Inclinometer measurements CART:
Before release, Top: -0.27 Bottom: 0.24

Digiquartz measurement of 30"" conductor two measurements after releasing CART: 
F-5 96584mm F-7 96606mm = F-5 23mm deeper
F-5 96603mm F-7 96602mm = F-5 1mm high
"
NO 15/9-F-5,"Broke out X/O and racked back the CART tool in derrick. Laid out the aluminium inner string. Held tool box with night shift prior to handling of the CART tool and aluminium inner string.   
"
NO 15/9-F-5,"Prepared for skidding. Meanwhile installed CTS funnel on F-14. Picked up new 36"" HO.
"
NO 15/9-F-5,Held tool box talk prior to skidding of the cantilever from F-5 to F-15
NO 15/9-F-5,Removed scaffolding from hatch opening on F-9 and installed hatch covers. Removed hatch cover from F-5. Prepared for skidding.
NO 15/9-F-5,Held tool box talk prior to skidding rig from F-9 to F-5. Skidded rig 1.5 m port and 2.25 m aft.
NO 15/9-F-5,"Checked that all decks were in alignment. Rearranged hatches on all decks in WH module for F-9 and F-5. Installed scaffolding barriers.

Meanwhile transported new 17 1/2"" BHA components to drill floor."
NO 15/9-F-5,"PU and MU 17 1/2"" bit, motor, 17 1/4"" stab, GWD, power pulse and UBHO. RIH with 17 1/2"" BHA to 35 m."
NO 15/9-F-5,Checked oil in PRS and serviced same; experienced communication problems to TDS.
