nameWell,comments
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole from 2620 m to 2632 m,  controlled ROP 10 m/hr.
WOB 5 - 12 tonne. 2000 l/min/  bar.  80 rpm /  8 - 12 kNm. 
Started bleeding in LCM premix, 4m3 per stand for drilling Ty Fm."
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole through Ty Fm. from 2632 m to 2673 m, average ROP 20 m/hr.
WOB 5 - 12 tonne. 2000 - 2400 l/min/ 143 - 170 bar, ECD: 1,34. 80 - 140 rpm / 11 - 22 kNm. 
Increased rpm after top stab out of casing shoe. Bleed in LCM premix as per plan to maintain particle concentration."
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole through Ty Fm. from 2673 m to 2771 m maintaining constant drilling parameters and bleeding in LCM premix, average ROP: 28 m/h.
WOB 5 - 12 tonne. 2400 l/min/  170 - 175 bar.  140 rpm / 12 - 20 kNm. ECD 1,36 SG"
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole in Shetland Gp. from 2771 m to 2857 m, average ROP: 19 m/hr.
WOB 5 - 12 tonne. 2400 l/min/ 175 bar.  140-160 rpm / 12 - 25 kNm. ECD: 1,37. 
Increased rpm to 160 to combat high stick slip."
NO 15/9-F-1 A,Took SCR
NO 15/9-F-1 A,"Drilled and oriented 8 1/2""  hole in Shetland Gp. from 2857 m to 2892 m, average ROP: 20 m/hr.
WOB 10 - 12 tonne. 2400 l/min/ 175 bar.  160 rpm / 11 - 26 kNm. ECD 1,37.
Added four sacks Baracarb 50/150 and Steelseal 100/400 per stand to maintain LCM background concentration."
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole in Shetland Gp. from 2892 m to 3004 m, average ROP: 22 m/hr.
WOB 10 - 14 tonne. 2400 l/min/  175 - 178 bar.  160 rpm / 12 - 25 kNm. ECD 1,37 - 1,38 SG.
Added four sacks Baracarb 50/150 and Steelseal 100/400 per stand to maintain LCM background concentration."
NO 15/9-F-1 A,"Drilled and oriented 8 1/2""  hole from 3004 m to 3070 m, average ROP: 22 m/h
WOB 5 - 12 tonne. 2400 l/min/ 175 - 180 bar.  160 rpm / 15 - 22 kNm. ECD 1,38 SG.

Started to increase MW from 1,28 SG to 1,32 SG.
"
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole from 3070 m to 3094 m, average ROP: 15 m/hr.
WOB 5 - 8 tonne. 2400 l/min/ 183 bar.  160 rpm / 15 - 20 kNm. ECD 1,39 SG. 

Experienced problems in achieving required build rate, controlled ROP to 15 m/hr, set build force to 97%, reduced walk force.
Increased MW from 1,28 SG to 1,32 SG.
Maintained LCM background concentration
"
NO 15/9-F-1 A,"Drilled and oriented 8 1/2"" hole from 3094 m to 3128 m, average ROP:  9,7 m/hr.
WOB 1 - 3 tonne. 2400 l/min/ 183 bar.  160 rpm / 12 - 17 kNm. ECD 1,40 SG. 

Controlled ROP to 10 m/hr to improve steering capability.
MW in - out: 1,32 SG.
Maintained LCM background concentration"
